"Place Order","Place Order"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
Checked,Checked
Unchecked,Unchecked
"Unchecked and Hidden","Unchecked and Hidden"
None,None
"Numeric Only","Numeric Only"
"Numeric and Special Characters","Numeric and Special Characters"
"Could not save the placeholder: %1","Could not save the placeholder: %1"
Field,Field
Label,Label
Placeholder,Placeholder
Width,Width
Required,Required
"Default Value","Default Value"
"Drop fields here","Drop fields here"
"Order Attribute","Order Attribute"
"Customer Attribute","Customer Attribute"
"Please use only numbers or special characters in this field.","Please use only numbers or special characters in this field."
"Place Order Custom Name","Place Order Custom Name"
"Enable this setting if you’d like to set a custom name for the ‘Place Order' button.","Enable this setting if you’d like to set a custom name for the ‘Place Order' button."
"Custom Button Name","Custom Button Name"
"Enter the name that will be displayed in the ‘Place Order' button. Limited to 40 symbols.","Enter the name that will be displayed in the ‘Place Order' button. Limited to 40 symbols."
"'Billing and Shipping Address are the same' by default","'Billing and Shipping Address are the same' by default"
"Specify the default state of the ‘My billing and shipping address are the same’ checkbox.","Specify the default state of the ‘My billing and shipping address are the same’ checkbox."
"Display Tooltip Next to Email Address","Display Tooltip Next to Email Address"
"Tooltip Text","Tooltip Text"
"Display Tooltip Next to Phone Number","Display Tooltip Next to Phone Number"
"Phone Number Field Validation","Phone Number Field Validation"
"Minimum Number of Symbols","Minimum Number of Symbols"
"Maximum Number of Symbols","Maximum Number of Symbols"
